Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
94,1.0,0.6983,2461.4,3028.9,1009.1,1577.4,1451.5,0.12157789999999999,0.0784243814040822,-0.00020596501380492003,0.0011541611423774702,-0.0052799000000000006,-8.056733640369845e-06
95,5.0,-0.568913,1616.7,3221.9,816.1,1528.7,1693.2,0.12128330000000001,0.07826665163488365,-6.801262888815554e-05,0.0008793820994020977,-0.0052101000000000005,5.730961378616861e-06
96,4.0,0.540474,2030.8,2695.1,1342.9,1188.4,1506.7,0.1216275,0.07849385627136879,-1.4832593890452746e-05,0.00090646781878798,-0.0051614999999999986,4.760090021418571e-06
97,2.0,-0.320614,2450.3,2616.5,1421.5,790.7,1825.8,0.12145760000000001,0.07840009194890904,2.197892509015216e-05,0.0007976779725875601,-0.0051923,3.4807993554158602e-06
98,0.0,0.21735699999999997,1993.4,1019.2,3018.8,191.2,828.0,0.12151680000000001,0.07843630306826707,3.0383864536199103e-05,0.0007719410761735801,-0.0052144999999999995,5.172021715801097e-06
99,2.0,0.506019,2588.8,2802.3,1235.7,1215.9,1586.4,0.1217798,0.07858631459277607,4.889555394715576e-05,0.000857089455611984,-0.005279599999999999,-4.843379713504733e-06
100,5.0,0.399902,1863.3,1939.0,2099.0,707.3,1231.7,0.12192909999999998,0.07864957287154051,-4.194946231421643e-06,0.0007809050092845401,-0.0053292,-5.730456406231221e-06
101,0.0,-0.429825,2294.8,2261.7,1776.3,802.0,1459.7,0.1217398,0.07851142641569078,-0.00018582123670284257,0.0008399639530946026,-0.0053571,-7.501909586841919e-06
102,0.0,0.27549,1706.0,1279.6,2758.4,311.7,967.9,0.1218143,0.07856980298855867,-0.00028542212765702993,0.0008325518361540175,-0.005373599999999999,-9.201864914068521e-06
103,4.0,-0.721235,2416.9,2968.0,1070.0,1545.8,1422.2,0.1214705,0.07839922555410117,-0.0003366302147950884,0.00087327214105736,-0.005407199999999999,-6.4578804294542296e-06
104,1.0,0.412498,2501.1,2336.3,1701.7,858.2,1478.1,0.1217457,0.0786048533655254,-0.00033637990916541487,0.00093903461943418,-0.0053773,-7.80276497223465e-06
105,5.0,0.49170400000000003,1985.7,3449.0,589.0,1468.0,1981.0,0.1220675,0.07887132439283512,-8.275200274511e-05,0.001030032238227203,-0.0053771999999999995,2.994874385467178e-06
106,3.0,0.532144,1592.1,3358.6,679.4,1538.2,1820.4,0.12260059999999999,0.0791295004197935,-2.528540989888997e-05,0.00123610293082015,-0.0052565,4.38943248028084e-06
107,0.0,0.954546,2385.6,2980.2,1057.8,1776.4,1203.8,0.12297659999999999,0.07930873746808074,2.725226052895666e-05,0.00136255574065608,-0.0052254,-2.070849437695892e-06
108,0.0,0.675018,1922.3,2720.7,1317.3,1367.7,1353.0,0.1232894,0.07945836076941493,6.479363989841481e-06,0.0011841324230458601,-0.0051169,6.870685545452083e-06
109,5.0,0.571205,2586.3,3477.2,560.8,1656.9,1820.3,0.12371240000000001,0.07969890597401579,0.00016158431613460023,0.0009518435053462202,-0.005178199999999999,6.574830961008886e-06
110,1.0,0.680443,1952.7,3686.6,351.4,1913.9,1772.7,0.12422819999999998,0.0800284572101325,1.901333537807625e-05,0.0009035033358498,-0.0051879000000000005,-1.8497585814166757e-06
111,5.0,0.285144,2513.1,2336.8,1701.2,646.4,1690.4,0.1244005,0.08014787271288348,2.906204156300997e-05,0.00103943412319496,-0.0051909,1.5212709790576726e-06
112,2.0,0.443164,1964.2,2347.6,1690.4,934.7,1412.9,0.1246477,0.08029053033935366,-6.800004173893e-05,0.001047581255205994,-0.005269299999999999,-2.4788281895953146e-06
113,3.0,0.716898,2180.4,3637.5,400.5,1987.8,1649.7,0.12530049999999998,0.08062977600487378,-0.00016385767626631178,0.00106605493640511,-0.005142700000000001,1.0995393730029465e-05
114,2.0,-0.509061,2029.7,3054.9,983.1,1347.2,1707.7,0.1250724,0.08058473990067573,-6.266459650626912e-05,0.00099967962501839,-0.0051315,1.3382503051049511e-05
115,5.0,0.611673,2080.3,3539.2,498.8,1769.6,1769.6,0.1255832,0.08094305619019414,-0.00013100323101705998,0.0009434883727733701,-0.0051909999999999994,7.1965263830889945e-06
116,1.0,0.517297,2116.5,2697.8,1340.2,1200.5,1497.3,0.1260145,0.08120820512399847,-0.00012067802256525001,0.0010151503812701893,-0.0052313,6.079633122868099e-06
