Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
29,1.0,0.335564,2374.7,2770.5,1267.5,871.6,1898.9,0.11646399999999998,0.07505560395871062,-0.00077007076947966,-0.00012842848106283996,-0.0056473,1.0387499668635546e-05
30,3.0,-0.331349,1519.5,1565.6,2472.4,486.2,1079.4,0.11633690000000001,0.07500388191048542,-0.00075740193894492,-1.088047290409783e-05,-0.0056622,5.741519464183773e-06
31,5.0,0.650553,2299.4,3254.1,783.9,1710.0,1544.1,0.11663000000000001,0.0752055818536949,-0.00078781117107624,-0.00018279199267626,-0.0056831,1.2032570456295495e-05
32,0.0,-0.570672,1816.6,2740.0,1298.0,1255.0,1485.0,0.11643699999999998,0.07515738189954616,-0.0009286800901983239,-0.00032021605646744634,-0.005728700000000001,1.0484710845108978e-05
33,0.0,-0.245424,1849.2,1701.2,2336.8,364.5,1336.7,0.1163789,0.07512975999870077,-0.000936447444615014,-0.00024546554863504635,-0.005712699999999999,5.742592590369719e-06
34,1.0,-0.556553,1968.6,2714.1,1323.9,1287.3,1426.8,0.11618409999999998,0.0750770342979871,-0.0007951398201602299,-0.00021799183415656,-0.005773000000000001,3.404289391790164e-06
35,3.0,0.062426999999999996,2343.8,294.0,3744.0,19.3,274.7,0.1161858,0.07507421388073313,-0.0007951398201602299,-0.00020784232721526,-0.005772800000000001,4.486046795357567e-06
36,4.0,-0.551645,2228.2,2520.5,1517.5,1159.1,1361.4,0.1160208,0.07501734938976691,-0.0007163913075652,-0.00027086626866906,-0.0058532,8.128762007525575e-07
37,1.0,0.52511,1544.6,2855.9,1182.1,1282.9,1573.0,0.1163002,0.07507528352656877,-0.00057902194997341,8.792727210088676e-07,-0.0059667,-9.14028287916934e-06
38,1.0,-0.4893660000000001,1488.2,2825.0,1213.0,1198.9,1626.1,0.11608130000000001,0.07505747961828568,-0.000720567835548245,8.004614559880005e-05,-0.005934199999999999,-1.6122176632791162e-06
