Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
34,1.0,-0.556553,1581.9,2435.4,1602.6,1158.9,1276.5,0.1161346,0.07521418952806916,-0.0005716470147177,0.00021900222254660003,-0.0056188,0.00012708467931711243,0.8766449149850605
35,3.0,0.062426999999999996,2174.6,245.5,3792.5,16.4,229.1,0.11613739999999999,0.07521610191452655,-0.0005626923545809499,0.00021900222254660003,-0.005617400000000001,0.00012748720734710405,0.8766441811214802
36,4.0,-0.551645,2001.7,1823.1,2214.9,811.4,1011.7,0.1160339,0.07524904354641074,-0.00045996875036774,0.00031772706536846993,-0.005670499999999999,0.00012784724879525504,0.8766441811214802
37,1.0,0.52511,1728.5,2304.7,1733.3,1024.6,1280.1,0.116208,0.07532155283554823,-0.00053865543424295,-9.315719763022999e-05,-0.0057392,0.00012487046314851207,0.8766151193215297
38,1.0,-0.4893660000000001,2194.6,2708.2,1329.8,1166.9,1541.3,0.11599,0.07529400523959734,-0.0006819562147116832,-0.0002757547574501078,-0.0055986000000000005,0.00010279818692503155,0.87658283818511
39,4.0,-0.10524,1770.9,354.0,3684.0,31.7,322.3,0.1159836,0.07530379319829468,-0.0006574654590467432,-0.0002757547574501078,-0.005595199999999999,0.00010342618146157094,0.8765843957451495
40,2.0,0.445429,2076.0,2818.9,1219.1,1160.0,1658.9,0.1161515,0.07536033248066656,-0.0008046156576778235,-0.00019576808403599005,-0.005675599999999999,0.00011576160797463525,0.8765907669942211
41,1.0,-0.671714,1460.5,3338.3,699.7,1779.0,1559.3,0.11591080000000001,0.07522602710522397,-0.0010449823298085698,-0.0003139994311957781,-0.005609599999999999,0.00012536142522386485,0.8765902894190618
42,4.0,0.701954,2062.3,3203.0,835.0,1693.0,1510.0,0.1161799,0.07549375511570415,-0.00098176945262362,-0.0006641003775915204,-0.0056018000000000005,0.00011694566592858726,0.8765569837782266
43,4.0,0.749719,1868.8,3348.9,689.1,1848.2,1500.7,0.116456,0.075703540583442,-0.00106611938524015,-0.0005808827272001099,-0.0055853000000000005,0.00011244951096447526,0.8765170611736215
44,1.0,0.357057,1716.4,1407.0,2631.0,447.6,959.4,0.1165505,0.0757731457844536,-0.0011841256050964,-0.00054777056486122,-0.0056094000000000005,0.0001125333872677469,0.8765210444615641
45,2.0,0.262092,2226.6,1690.1,2347.9,437.4,1252.7,0.11664179999999999,0.07583087318488162,-0.00125110606690504,-0.0005363288227477,-0.0056391,0.00010930397397066593,0.8765141393520073
46,1.0,0.323409,1712.9,1806.1,2231.9,550.3,1255.8,0.1167543,0.07587220967753952,-0.0011949256236580001,-0.0006580319413372661,-0.0056856,0.0001128978104922134,0.8765131588370283
47,4.0,-0.673508,2246.0,3366.2,671.8,1743.4,1622.8,0.1165373,0.07567380319328885,-0.001086278100092402,-0.0005895920004923,-0.005592,0.0001293472542251218,0.8765179534007502
48,1.0,0.686776,1976.1,3696.2,341.8,1968.1,1728.1,0.1168943,0.07591348831781344,-0.0010042572186312957,-0.00040088601719652,-0.0056576000000000005,0.00014513281340452542,0.8765056391884274
49,2.0,-0.370808,2044.3,2676.1,1361.9,947.5,1728.6,0.116758,0.07577730411781838,-0.0009836944943586768,-0.00038249532436867054,-0.0056901,0.0001492145056609835,0.8764971873377219
50,1.0,0.382281,2245.9,2454.7,1583.3,862.6,1592.1,0.11697450000000001,0.07594372920134214,-0.0008700296601690594,-0.0004176005751414011,-0.005772,0.00014811391420544573,0.8764854760409213
51,0.0,-0.826821,1621.9,3302.9,735.1,1913.0,1389.9,0.11683030000000001,0.0759315945564768,-0.0008611381005561799,0.00026978912399191,-0.0057324,0.0001526673098974489,0.8765003135130678
52,4.0,-0.7165,2092.0,3398.4,639.6,1802.7,1595.7,0.11663159999999999,0.07587637112660478,-0.000835802334880021,0.00045989728379838,-0.0058611,0.00014956853956887584,0.8764972989748157
53,2.0,-0.621121,1594.2,3209.0,829.0,1630.8,1578.2,0.1164397,0.07575888986893213,-0.0007068401633718382,0.00048510350827286,-0.005764799999999999,0.00014846599520970503,0.8765114249465908
54,5.0,-0.46916,2424.0,3099.9,938.1,1309.7,1790.2,0.1162196,0.07567540414803478,-0.0007631793051793999,0.00051755125898097,-0.0057256,0.00014649260979834265,0.8765327752839269
55,4.0,-0.67529,1835.1,3170.8,867.2,1613.6,1557.2,0.1160501,0.07549981708867563,-0.00072911991157104,0.00051534968714378,-0.0057995,0.0001356184858196362,0.8765428143220552
56,0.0,0.527943,1971.3,2424.8,1613.2,1028.5,1396.3,0.1162339,0.0755890319856395,-0.0007300442419869861,0.00043964758241369994,-0.005781,0.00013001258696900936,0.8765406011893213
57,1.0,0.48067399999999993,2249.3,2476.6,1561.4,1041.9,1434.7,0.11648099999999999,0.07567263716533981,-0.0007079896153643582,0.00029577435715684,-0.0058008999999999995,0.00014070128487277846,0.8765408874792444
58,5.0,0.64602,1693.6,3788.7,249.3,1976.8,1811.9,0.1167916,0.07591650208285058,-0.00055670102953689,-0.00015870852488258057,-0.0057962,0.00014449640405036574,0.8765355012780395
59,0.0,-0.408563,1754.7,2478.6,1559.4,871.4,1607.2,0.11665790000000001,0.07586844951716411,-0.00045376606056366506,-0.00011783569382086004,-0.0058002999999999996,0.00013828522851185666,0.8765282861513581
60,2.0,0.548847,1567.0,3000.4,1037.6,1395.7,1604.7,0.11689799999999999,0.07592459582910432,-0.00052492810515055,0.00011960981242353998,-0.005891200000000001,0.00014009406238162559,0.8765188907440791
61,0.0,0.428672,1888.1,1958.2,2079.8,703.4,1254.8,0.1170089,0.07596710769899802,-0.0005547325617680963,6.821737735117002e-05,-0.005891200000000001,0.0001316376878812083,0.8765196100460632
62,4.0,0.552901,1538.7,2970.3,1067.7,1327.1,1643.2,0.1172482,0.07614206023670342,-0.00056570651917947,0.00020966719221038001,-0.0058952000000000015,0.0001316481652845335,0.8765017388254641
63,3.0,0.778063,1812.7,2709.7,1328.3,1543.0,1166.7,0.1175473,0.07624091061083489,-0.0005564065930678181,0.00044630519262021,-0.0058850000000000005,0.00014316899284085136,0.876483444643736
64,1.0,-0.536411,2108.7,3591.2,446.8,1662.0,1929.2,0.117232,0.07614955991904823,-0.00069093810085988,0.00030503952601583994,-0.005810000000000001,0.00014668411060928666,0.8764795407731409
65,0.0,-0.623669,1704.0,3158.0,880.0,1520.7,1637.3,0.11706330000000001,0.07611488554343564,-0.00070006138863975,0.0005120595988987027,-0.0058306,0.00016564076699700824,0.8764739109699718
66,3.0,0.509756,1991.1,2045.5,1992.5,916.9,1128.6,0.11734649999999999,0.07620670922188265,-0.00077279889101024,0.0005174084589408001,-0.0057844,0.00015970110562564597,0.8764699135654987
67,0.0,0.655686,2204.6,3011.2,1026.8,1494.9,1516.3,0.1175955,0.07638478521427677,-0.00070747878488245,0.00041375554468451003,-0.005825800000000001,0.00015585868291429218,0.8764660504888298
68,4.0,-0.339661,2547.5,1618.0,2420.0,476.6,1141.4,0.1175222,0.0763239245883905,-0.0007040876566613228,0.00035785857190889005,-0.005815099999999999,0.0001541272233055414,0.8764644098689642
69,4.0,0.55661,1660.1,2591.5,1446.5,1153.5,1438.0,0.11778519999999999,0.07652273131471868,-0.0008639345834838399,0.00014517223505958003,-0.0057834,0.00015421024540073755,0.8764577372148419
70,2.0,0.649722,2001.8,3669.8,368.2,1928.3,1741.5,0.1181572,0.07672392696303426,-0.0008714205230600725,0.00058836980977866,-0.005853,0.0001424193311424142,0.8764422128093297
71,0.0,0.676847,2114.8,2892.2,1145.8,1464.0,1428.2,0.1184113,0.07676895960439088,-0.0007674035128747399,0.00075890740047237,-0.0058095,0.00013488366062302246,0.8764243027325781
72,3.0,0.768761,1579.8,3858.4,179.6,2200.7,1657.7,0.11885609999999999,0.07686946714427793,-0.0006177096465529201,0.0011410482377739498,-0.0057451,0.0001265313010824,0.8764197853117057
73,0.0,-0.505987,1886.8,2804.2,1233.8,1171.1,1633.1,0.1186791,0.07675764905228201,-0.0007209759903541899,0.00123713529666924,-0.005779899999999999,0.00013466245969534661,0.8764251009199421
74,0.0,0.50125,1923.7,2298.5,1739.5,937.9,1360.6,0.1188815,0.0768675284109776,-0.00070538624817111,0.0014766909628624327,-0.0057521,0.00012515288228081905,0.8764251009199421
75,4.0,-0.412028,2434.1,2739.9,1298.1,971.2,1768.7,0.11867969999999999,0.0767733326106472,-0.0006201770914028013,0.0013116210523986304,-0.005732300000000001,0.00012726201441175497,0.8764319220517854
