Unnamed: 0,network_polarization,network_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
3000,0.130923655,0.09048292380552132,-6.358983548958686e-05,0.0057301049726017576,-0.0038704169999999997,0.0014423495327361758
3100,0.130822903,0.0904258275192825,0.0002483867865362798,0.006504862785677932,-0.003992880000000001,0.0016317219889482027
3200,0.131029798,0.09052672681476429,0.00034910508778722524,0.006971935553335213,-0.004184636,0.0017520146779187434
3300,0.13127002799999998,0.09079859416789844,0.0005853423065772588,0.00690232301270887,-0.004244110000000001,0.0018668148208400102
3400,0.130569163,0.09046934163064181,0.0003364659433648641,0.006042875049968084,-0.004119752,0.002058142761230335
3500,0.13029843300000002,0.09012726491627766,0.00033496265601269735,0.006825726817674396,-0.004174828,0.002222822997047713
3600,0.12943570399999998,0.08962890098471489,6.994470723540626e-05,0.005889204141816647,-0.004015895,0.00235473164888193
3700,0.12979474,0.09000180431656007,-3.674214706397751e-05,0.005714365234826203,-0.004208566,0.0026009310837372774
3800,0.13135205500000002,0.09119840103726329,-0.00017043256158487085,0.005527426681719396,-0.004337473999999999,0.002781215349696393
3900,0.131479734,0.0912017520287856,0.0003963820633983069,0.005878193721531793,-0.00418111,0.0029022252630973326
4000,0.13079219,0.09083275296753959,0.0005090575171995711,0.005859738055575522,-0.004130015,0.0029493654288943235
4100,0.12979717799999999,0.09019803437815588,0.000514341257437713,0.006037388144755081,-0.004202144,0.0030525671463787225
4200,0.129911959,0.09045053792510957,0.0009864421458111493,0.00685695972377996,-0.004090199,0.0030931035959786777
4300,0.12902688,0.09031395184702486,0.0009272884765498694,0.005945001147901883,-0.003779487,0.0032306113274660564
4400,0.12819804699999998,0.08968110591106054,0.0009086455788938807,0.0062924861320229454,-0.003616482,0.003419368483809304
4500,0.128238891,0.08980983975105311,0.000731191455694494,0.007018984573811123,-0.003568015,0.0036344586580742927
4600,0.129211137,0.09064981786995396,0.00031622484736696765,0.006269425607823656,-0.003544511,0.0039034545207300682
4700,0.129882041,0.09125710538560965,0.0006195375526672455,0.006290768451502262,-0.003683806,0.0039805152613097495
4800,0.130556488,0.09163369414617231,0.0006633687692138894,0.005835799526778946,-0.0038274710000000003,0.004104127828718061
4900,0.131385169,0.09181355246189972,0.00021088952843092393,0.005819325204580849,-0.003796018,0.004166652895155747
