,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
28,0.0,-0.838253,3167,3569,469,2290,1279,0.112516,0.08844845569608475,0.0015098359352112595,0.002597592710644952,-0.001474,0.0001397307590571149
29,1.0,0.335564,981,2762,1276,888,1874,0.112668,0.08864289498435773,0.001482768076205,0.002661904279479151,-0.001636,0.0001283968645287663
30,3.0,-0.331349,1355,2856,1182,952,1904,0.112493,0.08881044377487005,0.00155073025885929,0.002347543628880578,-0.001611,0.0001264381061727376
31,5.0,0.650553,2093,3769,269,2115,1654,0.112687,0.08880548985947002,0.0013984342479284367,0.002740799094141983,-0.00151,0.00017579022303334667
32,0.0,-0.570672,1355,3698,340,1896,1802,0.112558,0.08873779151842852,0.0015855890953144643,0.0035971645349154075,-0.001334,0.00020917779421433206
33,0.0,-0.245424,1355,3144,894,797,2347,0.11244,0.08878845563524382,0.0010313671820497763,0.003547947208289265,-0.001261,0.00021371956197863015
34,1.0,-0.556553,2093,3646,392,1816,1830,0.112309,0.0886441941640431,0.0010813345847503926,0.003651875124008483,-0.001194,0.00017302585066394832
35,3.0,0.062427,1908,107,3931,12,95,0.112308,0.08864414444537091,0.0010813345847503926,0.003651875124008483,-0.001194,0.00017201783324554245
36,4.0,-0.551645,2093,419,3619,184,235,0.112285,0.08861594538843275,0.001161805589777132,0.003651875124008483,-0.001231,0.00016523286666965734
37,1.0,0.52511,1355,3720,318,1749,1971,0.112366,0.08858038923939858,0.001389708828613525,0.003597438364146712,-0.001331,0.00019730684537725825
38,1.0,-0.489366,2963,3607,431,1622,1985,0.112236,0.08847826749349837,0.0008914550980497497,0.003514490151233707,-0.001111,0.00019384161470960124
39,4.0,-0.10524,2093,139,3899,13,126,0.112235,0.08847825814646706,0.0008914550980497497,0.003514490151233707,-0.001113,0.00019485516880715013
40,2.0,0.445429,1355,3910,128,1698,2212,0.112258,0.08841093115776029,0.0008491436673927455,0.003514490151233707,-0.001105,0.00019677857151311986
41,1.0,-0.671714,180,3973,65,2236,1737,0.112228,0.08834752035170718,0.0007695052896611149,0.003667454360544711,-0.000984,0.00016710052001522435
42,4.0,0.701954,2183,3855,183,2212,1643,0.112368,0.0884394189953717,0.00040190315242689115,0.003667454360544711,-0.000802,0.00014911577308352272
43,4.0,0.749719,48,3871,167,2310,1561,0.112504,0.08869005264573682,0.00045512140908462084,0.00362912989980549,-0.000642,0.0001506749832840674
44,1.0,0.357057,532,4,4034,2,2,0.112507,0.08869291415707085,0.00045512140908462084,0.00362912989980549,-0.00064,0.00012660579123983205
45,2.0,0.262092,3278,2525,1513,687,1838,0.112632,0.08882596046067412,0.00042935070770978726,0.003706343633316093,-0.000571,0.00012293745749385532
46,1.0,0.323409,1355,2431,1607,799,1632,0.112724,0.08884035896990401,0.0006301493440707433,0.003643176206136604,-0.000655,0.0001211235329136844
47,4.0,-0.673508,2186,3893,145,2197,1696,0.112562,0.08865042429589613,0.0009079017784262264,0.003643176206136604,-0.000789,0.00014911299812784632
48,1.0,0.686776,1538,3690,348,2050,1640,0.112815,0.08860855479699462,0.0003552570378879917,0.003731728831689418,-0.000987,0.0001421199990991454
49,2.0,-0.370808,2284,2714,1324,1016,1698,0.112652,0.08848756018303051,0.0001786923511175384,0.003921537651548875,-0.001111,0.00015153272502140336
50,1.0,0.382281,1355,3890,148,1423,2467,0.112747,0.08855606085414094,9.97319657178054e-05,0.0034616742130511163,-0.001207,0.00013862091516747912
51,0.0,-0.826821,3103,3724,314,2334,1390,0.112613,0.08830573716535282,0.0008629741182097034,0.003839257287348095,-0.001037,0.0001932836039518317
52,4.0,-0.7165,683,3598,440,2094,1504,0.112248,0.08807050747304385,0.0012226230216789012,0.0035037035269246406,-0.001544,0.00018255068119867496
53,2.0,-0.621121,3065,3178,860,1694,1484,0.112157,0.08781746481412955,0.001790076536230234,0.002654416561407448,-0.001622,0.00020134763589043034
