,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
31,5.0,0.650553,1547,0,4038,0,0,0.11259,0.08045116657745326,-0.0016958543079076452,0.0019929303947027097,-0.015024,0.00039316274543439565,0.8626012988664685
32,0.0,-0.570672,2790,2847,1191,983,1864,0.112307,0.08011634680725951,-0.0020740977966501495,0.0012713481506926943,-0.014941,0.0004194336293165447,0.8626012988664685
33,0.0,-0.245424,2742,2,4036,0,2,0.112307,0.0801160695167413,-0.0020740977966501495,0.0012713481506926943,-0.014941,0.0004221970979969111,0.8626040623351489
34,1.0,-0.556553,2653,3399,639,1458,1941,0.111525,0.0793872658469146,-0.0011140528956421383,0.0015591444609533566,-0.0151,0.00042171625950553537,0.8626035814966576
35,3.0,0.062427,2790,110,3928,4,106,0.111525,0.07942938302891242,-0.0011140528956421383,0.0015591444609533566,-0.0151,0.00042191929862412904,0.8626035814966576
36,4.0,-0.551645,1983,159,3879,64,95,0.111485,0.07945104253642402,-0.0012270628052682365,0.0015591444609533566,-0.015081,0.0004405267385845153,0.8626171115783611
37,1.0,0.52511,564,2605,1433,987,1618,0.11235,0.08025042872303287,-0.0011276669658957968,0.0016441272471114942,-0.014957,0.0004863621186290808,0.8626629469584055
38,1.0,-0.489366,2790,2577,1461,943,1634,0.111618,0.07934016289138299,-0.0018228840419366125,0.001052782331054028,-0.015171,0.0004873777413079617,0.8626629469584055
39,4.0,-0.10524,2459,5,4033,0,5,0.111618,0.07934057926542226,-0.0018228840419366125,0.001052782331054028,-0.015171,0.0004901412372227921,0.8626657104543204
40,2.0,0.445429,2717,646,3392,210,436,0.111829,0.07941661471554397,-0.00237847158232841,0.0003032953729584291,-0.015329,0.0004932911010504722,0.8626657104543204
41,1.0,-0.671714,1547,2,4036,0,2,0.111829,0.07941679728407794,-0.00237847158232841,0.0003032953729584291,-0.015328,0.0004940202666855304,0.8626664396199555
42,4.0,0.701954,234,2,4036,0,2,0.111829,0.07937438035636109,-0.00237847158232841,0.0003032953729584291,-0.015331,0.00047510541152336153,0.8626475247647933
43,4.0,0.749719,1022,2896,1142,1274,1622,0.11251,0.08026633586196057,-0.0020332215924528056,0.0008012352196015844,-0.0149,0.00048060662308723715,0.8626530259763572
44,1.0,0.357057,2790,664,3374,163,501,0.112627,0.08045789794871935,-0.001966514780163715,0.0011176443433399805,-0.014849,0.0005035424983038749,0.8626606766324602
45,2.0,0.262092,1547,2,4036,0,2,0.112628,0.08045904071780943,-0.001966514780163715,0.0011176443433399805,-0.014848,0.0005110920650283116,0.8626673699889015
46,1.0,0.323409,669,967,3071,238,729,0.112839,0.08069451117778938,-0.0019026555784653631,0.0013665043726561368,-0.014774,0.0005117261180117233,0.8626680040418849
47,4.0,-0.673508,1983,3630,408,1544,2086,0.112334,0.0796327000206538,-0.0024793238943858396,0.0002130427320376108,-0.01555,0.0005939034391308122,0.8626925376269307
48,1.0,0.686776,1983,3535,503,1608,1927,0.113399,0.0810203986137135,-0.0027137937494089706,0.0007345360393937115,-0.015015,0.0006194838798339567,0.8627181180676339
49,2.0,-0.370808,2790,1915,2123,558,1357,0.113031,0.08093734834820572,-0.002074382628074496,0.0012634170200181444,-0.014653,0.0006182718719112034,0.8627169060597111
50,1.0,0.382281,1983,151,3887,67,84,0.113119,0.08092053832427891,-0.0019472733724406111,0.0012516114412711693,-0.014634,0.0006749393391060536,0.8627169060597111
51,0.0,-0.826821,1677,3125,913,1361,1764,0.112775,0.08054168931615184,-0.002573032058810102,0.0006812155582284244,-0.014843,0.0007125693300278991,0.8627173868982024
52,4.0,-0.7165,3174,3022,1016,1295,1727,0.11252,0.08002629859135972,-0.001969782799948434,0.0005192334342492995,-0.015213,0.0007019766585745691,0.8627067942267491
53,2.0,-0.621121,2790,2607,1431,1186,1421,0.112044,0.08022424379750867,-0.002510238209840502,0.0006496020297815391,-0.014674,0.0006790318702606299,0.8626838494384352
54,5.0,-0.46916,2790,2891,1147,1039,1852,0.111484,0.0798331694015893,-0.0019765833586068843,0.0014208370333847133,-0.014776,0.0007253008724889043,0.8627271940781975
55,4.0,-0.67529,1983,160,3878,64,96,0.111457,0.0796894391115395,-0.002027044176311924,0.0013763259908544502,-0.014766,0.0007483719296812786,0.8627271940781975
56,0.0,0.527943,2393,2503,1535,738,1765,0.111717,0.079863977280715,-0.0027488868478317695,0.0008778353553219096,-0.014756,0.0007213025808325538,0.8627001247293489
57,1.0,0.480674,1983,140,3898,67,73,0.111796,0.07989379569387464,-0.002749141735541402,0.0009262958341153734,-0.014775,0.0006945202584755347,0.8626733424069919
58,5.0,0.64602,1547,2799,1239,1236,1563,0.112737,0.08098803294258136,-0.003625343720252607,0.001211141828554883,-0.014544,0.0006566322498925521,0.8626354543984088
59,0.0,-0.408563,1547,3,4035,0,3,0.112739,0.08098927767044102,-0.003625343720252607,0.001211141828554883,-0.014543,0.0006649088530121362,0.8626354543984088
60,2.0,0.548847,1547,1817,2221,679,1138,0.113181,0.08087268366699966,-0.003714006802059961,0.0008780809359808531,-0.01487,0.0006418974145372661,0.8626124429599339
61,0.0,0.428672,1547,3,4035,0,3,0.113179,0.08087141231349845,-0.003714006802059961,0.0008780809359808531,-0.014871,0.0006332134581124085,0.862603759003509
62,4.0,0.552901,2790,2264,1774,693,1571,0.113663,0.08141433345335722,-0.0032262837344373243,0.00080643567242879,-0.014782,0.0006328989083063508,0.862603444453703
63,3.0,0.778063,2790,3496,542,1833,1663,0.115176,0.08266030175959226,-0.0026556102983239897,0.00044655731231772484,-0.014455,0.0006312142453770542,0.8626017597907738
64,1.0,-0.536411,2790,3334,704,1327,2007,0.114192,0.08147766299214124,-0.0024783497994095077,0.0006473339459210129,-0.014783,0.0006041769671728783,0.8625747225125695
65,0.0,-0.623669,2790,2576,1462,900,1676,0.113999,0.08117080774770073,-0.0029245978595706323,0.0007643967447353568,-0.014787,0.0006360697376606229,0.8626066152830573
