Unnamed: 0,network_polarization,network_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
2000,0.134728182,0.09375939628200188,-4.900134962498686e-05,0.0026061055688347307,-0.003043083,0.001282962792698278
2100,0.13337756299999998,0.09312365195541701,-0.00012745874599558515,0.0026394240803485985,-0.003048034,0.001465625440721746
2200,0.133398338,0.09320191131903827,2.88339288976151e-06,0.002678223293129276,-0.003058894,0.0014818533792086655
2300,0.13487211,0.09423197446091215,0.0006237553936737035,0.0034628065211818066,-0.002870083,0.0015461600072287016
2400,0.137452043,0.0960951417173384,0.0003948075022515669,0.0030681719605372124,-0.002762793,0.001691717378842372
2500,0.137031344,0.09589884706448858,9.494091663960993e-05,0.0027875552648918066,-0.003008984,0.001814637210667643
2600,0.13558193300000002,0.09471616404153659,0.0003067730874209206,0.0024764402514368443,-0.0028228550000000004,0.0019115556154637014
2700,0.138129162,0.09652443225614067,0.0008245038737160948,0.002899424056404442,-0.002904775,0.0020857900147480063
2800,0.138923633,0.09710790353951175,0.0012078028872951729,0.003301380656222771,-0.0029029299999999997,0.0023328593521326642
2900,0.139879644,0.09769280902999068,0.0011704511419225844,0.0029290441362266107,-0.0030787920000000003,0.002467567263196766
3000,0.140836077,0.0982205082780237,0.0006473949736247741,0.002657364654266101,-0.002997415,0.0027022152244090946
3100,0.141319621,0.09860815494602383,8.981511757214766e-05,0.002573771198396203,-0.0027401909999999995,0.002858378005386718
3200,0.14201218300000001,0.09913786154881951,0.0002084578504897382,0.002696789270642741,-0.002621392,0.0030565816053410642
3300,0.141784187,0.09870803768411869,0.0004978455729070752,0.0028337377981685397,-0.00235653,0.0032624136167272067
3400,0.141427109,0.09858104141480334,0.0006618171886909171,0.003924914618827647,-0.002201807,0.0033549669748612608
3500,0.140261405,0.09803343469594075,0.00017002204791559758,0.004269342417822124,-0.0019877980000000003,0.0034433635061858307
3600,0.139978305,0.09781609403550247,-0.00021681411977418727,0.0044430675573505106,-0.001982196,0.0035977921090897752
3700,0.140246247,0.0983159051891511,-0.00041444223489467766,0.004873874463849325,-0.001987695,0.0037896574540695082
3800,0.141983469,0.09956223396531273,-0.0006100685755742922,0.004131537592989129,-0.001856713,0.004004038422257094
3900,0.141282611,0.0989294104638563,-0.000670467644719727,0.0037512441406789606,-0.001623898,0.004045392769421998
4000,0.141720846,0.09903300414240729,-0.0003984461534411459,0.00428784146664147,-0.0015714969999999998,0.004078066983180625
4100,0.141006832,0.09856221010448366,-7.778009292362182e-05,0.003387309025250485,-0.0017962540000000002,0.004208514053393734
4200,0.141769171,0.09913324865164182,-0.00017790756236401827,0.002369204192574647,-0.001724614,0.004341967145122651
4300,0.141193441,0.0987707909153882,-0.00028795766136042956,0.0026628517723901856,-0.001819848,0.0044793560459012675
4400,0.140873043,0.0986215988714884,-0.00023023263744489003,0.002069312117997936,-0.001817128,0.0047007258282648475
4500,0.140786886,0.09883919578228394,0.00021913173573222247,0.0017120396665342222,-0.0015654019999999998,0.004933981072734919
4600,0.140899878,0.0989402241468173,-6.439042488753256e-05,0.0012659360937963145,-0.0013797220000000001,0.004998216023710827
4700,0.14135018,0.0992804495354576,-0.0002768034709039765,0.0017842827348773871,-0.001391936,0.005186557710651346
4800,0.14259828800000002,0.1003902646127239,9.258452794866561e-05,0.0027744808249022214,-0.0013773149999999998,0.005288667528252748
4900,0.14281428699999998,0.1007038308164453,0.00021385858481671408,0.0034044727298854767,-0.001329623,0.005384413060823877
